time,theta1,theta2,theta1_dot,theta2_dot,estimated_theta1,estimated_theta2,estimated_theta1_dot,estimated_theta2_dot,observed_theta1,observed_theta2,control_inputs,delayed_inputs,diff_history,com_x,com_y,cop
0.0,0.08632854964304126,0.0030858139790375105,-0.1945103781869352,0.6179276246229235,0.04521971647968828,0.0016163787509244105,-0.1956887746737337,0.6175688668187362,0.08632854964304126,0.0030858139790375105,"[0, 0]","[np.int64(0), np.int64(0)]",0.28083892782997644,0.06193661365776942,1.0024029077191392,0.3460373281413379
0.01,0.08340182308354116,0.012386577163322254,-0.39132325968319803,1.2439929258032025,-0.14922657897124206,0.5166893550618703,-0.3923110065287041,1.243693633267302,0.08340182308354116,0.012386577163322254,"[0, 0]","[np.int64(0), np.int64(0)]",0.4747250827667392,0.0626381858269115,1.0025570800792032,0.3642522467241775
0.02,0.07849321089689276,0.02800014056993838,-0.590612078146818,1.8798299912227883,-0.2995603495772031,1.0218551814326744,-0.5110190654631488,1.904804330883934,0.07849321089689276,0.02800014056993838,"[0, 0]","[np.int64(0), np.int64(0)]",0.6691052890437108,0.06381722463902334,1.0027442311817605,0.40334903144636464
0.03,0.07159446889684684,0.04997925566149641,-0.7881588669470565,2.5136461930852034,-0.338676798173126,1.4863388178064056,-0.5992352818331383,2.57312175488552,0.07159446889684684,0.04997925566149641,"[0, 0]","[np.int64(0), np.int64(0)]",0.8597533358439033,0.06547882570753608,1.0028555340083574,0.47402643571302133
0.04,0.06276952932777435,0.07816692667637293,-0.9735769115519095,3.114759783272106,-0.25925877886326243,1.8087669786147955,-0.40396169846231444,3.296255897307887,0.06276952932777435,0.07816692667637293,"[0, 0]","[np.int64(0), np.int64(0)]",1.0363464408796839,0.06761126738976607,1.002738170902863,0.5945824699116127
0.05,0.052216334344013404,0.11200682583722976,-1.1308701881283567,3.6352574552394796,-0.2861871573155991,2.640695084238649,2.5574736389032253,4.8391995411191004,0.052216334344013404,0.11200682583722976,"[0, 0]","[np.int64(0), np.int64(0)]",1.1830865224723701,0.07017104501014841,1.0022120557613734,0.7874645181311705
0.06,0.04030222428960073,0.15043395020071815,-1.2433333106352746,4.024909166361305,2.2486277716866905,4.128075584698314,-1.208403453907465,4.037161409563652,0.04030222428960073,0.15043395020071815,"[0, 0]","[np.int64(0), np.int64(0)]",1.2836355349248754,0.07307535258790723,1.0011070479604407,1.0421365456074843
0.07,0.0275315797571829,0.19197176814135286,-1.3015596815570414,4.255595012396752,-0.7543776200751449,3.0612434175413163,-1.4526623564816248,4.209537050472136,0.0275315797571829,0.19197176814135286,"[0, 0]","[np.int64(0), np.int64(0)]",1.3290912613142243,0.07621209194027065,0.9993095062711572,1.1916374388950566
0.08,0.014441833059393172,0.23504793473510466,-1.3086443712145719,4.337185015603958,-1.2270264603486818,3.59371735085616,-1.2036270284605586,4.375583200140021,0.014441833059393172,0.23504793473510466,"[0, 0]","[np.int64(0), np.int64(0)]",1.323086204273965,0.07946689337115959,0.9967901790702329,0.7742089497559461
0.09,0.001483975038401475,0.2783573303611311,-1.2778470219491325,4.310404899049635,-0.9485573417205395,3.62620626961874,-1.2370231614120684,4.324941429634521,0.001483975038401475,0.2783573303611311,"[0, 0]","[np.int64(0), np.int64(0)]",1.279330996987534,0.08275149079616885,0.9935939556811425,-3.270918457207331
