変数名,説明
state,現在のシステムの状態（リンク1とリンク2の角度および角速度）
desired_state,望ましい目標状態（リンク1とリンク2の目標角度および目標角速度）
t,現在の時刻
last_update_time,最後に制御入力を更新した時刻
x0,初期状態（現在の状態からシミュレーションを開始）
ref,目標状態（望ましい状態に向かうための参照）
opti,CasADiの最適化オブジェクト。制御入力の最適化問題を設定するために使用
U,最適化されるべき制御入力変数のベクトル（予測ホライゾン長 N の各時刻での制御入力を含む）
x,状態変数のシンボリック表現。最適化中に予測される状態の変数
cost,最適化の目的関数（コスト）
t_min_a,足首トルクの最小制約値
t_max_a,足首トルクの最大制約値
t_min_h,股関節トルクの最小制約値
t_max_h,股関節トルクの最大制約値
i,予測ホライゾンの時間ステップを示すインデックス
u,制御入力のベクトル（足首トルクと股関節トルクの2つの成分を含む）
horizon_dt,予測ホライゾン内の時間ステップ
opts,最適化ソルバーのオプション設定
sol,最適化ソルバーから得られる解
stats,最適化ソルバーの結果に関する情報（解が正常に求まったかどうかなどの情報を含む）
self.u,最新の制御入力。最適化で求めた値を使用するか、最適化が失敗した場合は前回の値を保持
self.last_U,直近で計算された全ての制御入力の配列
self.prev_u,前回使用した制御入力の値（最適化が失敗した場合に利用する）
